aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.06,10.11,0.04,0.5,0.0,0.0,0.05,1.55,1.09,0.0,0.72,0.137,14.66,0.64,0.001,0.02,1.52,0.09,0.06,0.03,0.0
0.04,24.02,0.05,0.85,0.03,0.12,0.06,0.2,0.28,0.46,0.006,0.113,11.97,0.71,0.005,2.28,0.61,0.1,0.01,0.07,0.0
0.02,23.6,0.04,1.61,0.0,0.07,0.06,1.27,0.21,0.0,0.67,0.092,5.81,0.71,0.01,5.04,0.32,0.08,0.05,0.09,0.0
0.02,2.79,0.01,0.5,0.07,0.07,0.02,0.03,0.74,0.0,0.95,0.124,15.45,0.5,0.0,3.81,0.54,0.08,0.05,0.07,0.0
0.05,3.86,0.0,0.13,0.01,0.63,0.07,1.99,1.44,0.15,0.003,0.1,4.54,2.66,0.01,3.93,0.99,0.02,0.02,0.04,0.0
0.02,2.49,0.26,3.99,0.07,1.83,0.58,1.35,1.06,0.22,0.007,0.069,11.91,1.86,0.005,8.95,2.78,0.07,0.16,0.03,0.0
0.04,0.41,0.06,0.48,0.08,0.15,0.07,0.91,0.16,0.89,0.89,0.052,5.73,1.76,0.003,0.42,4.31,0.03,0.01,0.08,0.0
0.02,20.39,0.01,0.84,0.02,0.55,0.02,0.01,0.4,0.0,0.002,0.09,5.38,0.89,0.01,0.44,3.54,0.1,0.06,0.04,1.0
0.04,0.77,0.02,0.72,0.04,0.27,0.09,1.83,0.77,0.67,0.67,0.089,11.98,1.17,0.001,0.74,3.47,0.1,0.04,0.07,0.0
1.08,27.86,0.03,3.65,0.003,5.81,0.26,0.47,1.02,0.4,0.0,0.02,18.95,1.73,0.007,53.85,2.13,0.07,0.28,0.08,0.0
0.05,3.31,0.07,0.99,0.0,0.16,0.06,0.04,1.43,0.0,0.97,0.118,2.17,0.5,0.002,0.99,4.0,0.03,0.08,0.0,0.0
0.0,9.38,0.05,0.13,0.01,0.08,0.04,0.37,0.95,0.33,0.006,0.072,3.37,0.5,0.002,0.06,2.61,0.02,0.01,0.02,0.0
0.05,6.77,0.03,0.24,0.03,0.11,0.08,0.77,0.68,0.05,0.008,0.092,13.92,1.76,0.004,0.53,0.12,0.06,0.03,0.0,0.0
0.09,4.28,0.06,0.85,0.09,0.2,0.06,1.69,0.11,0.47,0.008,0.058,9.03,0.18,0.001,8.37,1.35,0.0,0.01,0.09,0.0
2.67,25.13,0.03,1.05,0.044026716572018586,3.58,0.7,1.89,0.7,0.77,0.77,0.172,14.48,1.13,0.004,15.977809548453875,4.23,0.02,0.47,0.05,0.0
0.05,0.45,0.09,1.21,0.03,0.15,0.1,0.07,1.12,0.1,0.001,0.108,9.36,0.61,0.009,3.87,2.8,0.02,0.04,0.07,0.0
0.07,0.46,0.09,2.4,0.04,0.05,0.05,0.07,0.75,0.0,0.0,0.034,5.44,1.6,0.008,7.18,1.84,0.07,0.09,0.07,0.0
0.11,2.87,0.34,2.06,0.01,7.43,0.23,1.44,0.17,0.99,0.99,0.096,14.61,2.53,0.008,26.07,4.17,0.08,0.18,0.03,0.0
0.06,9.64,0.09,2.36,0.07,0.05,0.01,1.53,1.17,0.43,0.007,0.091,14.04,1.0,0.009,11.97,0.07,0.03,0.04,0.04,0.0
0.03,6.62,0.01,1.24,0.03,0.44,0.04,1.05,0.05,0.49,0.005,0.1,10.02,0.99,0.007,0.22,0.86,0.06,0.01,0.05,0.0
0.03,9.19,0.03,0.15,0.01,0.04,0.08,0.1,0.29,0.0,0.78,0.185,12.75,0.48,0.006,3.05,0.76,0.03,0.06,0.04,0.0
4.33,29.04,0.02,1.63,0.007,3.3,0.87,0.95,0.43,0.0,0.0,0.07,3.72,1.36,0.003,27.63,4.67,0.07,0.27,0.06,0.0
0.02,14.53,0.04,0.21,0.01,0.05,0.07,1.74,1.4,0.94,0.94,0.166,0.45,1.97,0.005,10.47,3.38,0.09,0.03,0.07,0.0
0.07,14.0,0.01,0.49,0.05,0.3,0.08,0.07,0.52,0.0,0.007,0.146,7.72,0.27,0.003,4.12,1.05,0.07,0.01,0.01,1.0
